League,Season,Position,Team,Points,Matches Played,Points per Match,Wins,Draws,Losses
Premier League,2025,1,Liverpool,79,33,2.39,24,7,2
Premier League,2025,2,Arsenal,67,34,1.97,18,13,3
Premier League,2025,3,Newcastle Utd,62,34,1.82,19,5,10
Premier League,2025,4,Manchester City,61,34,1.79,18,7,9
Premier League,2025,5,Chelsea,60,34,1.76,17,9,8
Premier League,2025,6,Nott'ham Forest,60,33,1.82,18,6,9
Premier League,2025,7,Aston Villa,57,34,1.68,16,9,9
Premier League,2025,8,Fulham,51,34,1.5,14,9,11
Premier League,2025,9,Brighton,51,34,1.5,13,12,9
Premier League,2025,10,Bournemouth,49,33,1.48,13,10,10
Premier League,2025,11,Brentford,46,33,1.39,13,7,13
Premier League,2025,12,Crystal Palace,45,34,1.32,11,12,11
Premier League,2025,13,Wolves,41,34,1.21,12,5,17
Premier League,2025,14,Everton,38,34,1.12,8,14,12
Premier League,2025,15,Manchester Utd,38,33,1.15,10,8,15
Premier League,2025,16,Tottenham,37,33,1.12,11,4,18
Premier League,2025,17,West Ham,36,34,1.06,9,9,16
Premier League,2025,18,Ipswich Town,21,34,0.62,4,9,21
Premier League,2025,19,Leicester City,18,34,0.53,4,6,24
Premier League,2025,20,Southampton,11,34,0.32,2,5,27
Premier League,2024,1,Manchester City,91,38,2.39,28,7,3
Premier League,2024,2,Arsenal,89,38,2.34,28,5,5
Premier League,2024,3,Liverpool,82,38,2.16,24,10,4
Premier League,2024,4,Aston Villa,68,38,1.79,20,8,10
Premier League,2024,5,Tottenham,66,38,1.74,20,6,12
Premier League,2024,6,Chelsea,63,38,1.66,18,9,11
Premier League,2024,7,Newcastle Utd,60,38,1.58,18,6,14
Premier League,2024,8,Manchester Utd,60,38,1.58,18,6,14
Premier League,2024,9,West Ham,52,38,1.37,14,10,14
Premier League,2024,10,Crystal Palace,49,38,1.29,13,10,15
Premier League,2024,11,Brighton,48,38,1.26,12,12,14
Premier League,2024,12,Bournemouth,48,38,1.26,13,9,16
Premier League,2024,13,Fulham,47,38,1.24,13,8,17
Premier League,2024,14,Wolves,46,38,1.21,13,7,18
Premier League,2024,15,Everton,42,38,1.11,13,9,16
Premier League,2024,16,Brentford,39,38,1.03,10,9,19
Premier League,2024,17,Nott'ham Forest,32,38,0.84,9,9,20
Premier League,2024,18,Luton Town,26,38,0.68,6,8,24
Premier League,2024,19,Burnley,24,38,0.63,5,9,24
Premier League,2024,20,Sheffield Utd,16,38,0.42,3,7,28
Premier League,2023,1,Manchester City,89,38,2.34,28,5,5
Premier League,2023,2,Arsenal,84,38,2.21,26,6,6
Premier League,2023,3,Manchester Utd,75,38,1.97,23,6,9
Premier League,2023,4,Newcastle Utd,71,38,1.87,19,14,5
Premier League,2023,5,Liverpool,67,38,1.76,19,10,9
Premier League,2023,6,Brighton,62,38,1.63,18,8,12
Premier League,2023,7,Aston Villa,61,38,1.61,18,7,13
Premier League,2023,8,Tottenham,60,38,1.58,18,6,14
Premier League,2023,9,Brentford,59,38,1.55,15,14,9
Premier League,2023,10,Fulham,52,38,1.37,15,7,16
Premier League,2023,11,Crystal Palace,45,38,1.18,11,12,15
Premier League,2023,12,Chelsea,44,38,1.16,11,11,16
Premier League,2023,13,Wolves,41,38,1.08,11,8,19
Premier League,2023,14,West Ham,40,38,1.05,11,7,20
Premier League,2023,15,Bournemouth,39,38,1.03,11,6,21
Premier League,2023,16,Nott'ham Forest,38,38,1.0,9,11,18
Premier League,2023,17,Everton,36,38,0.95,8,12,18
Premier League,2023,18,Leicester City,34,38,0.89,9,7,22
Premier League,2023,19,Leeds United,31,38,0.82,7,10,21
Premier League,2023,20,Southampton,25,38,0.66,6,7,25
Premier League,2022,1,Manchester City,93,38,2.45,29,6,3
Premier League,2022,2,Liverpool,92,38,2.42,28,8,2
Premier League,2022,3,Chelsea,74,38,1.95,21,11,6
Premier League,2022,4,Tottenham,71,38,1.87,22,5,11
Premier League,2022,5,Arsenal,69,38,1.82,22,3,13
Premier League,2022,6,Manchester Utd,58,38,1.53,16,10,12
Premier League,2022,7,West Ham,56,38,1.47,16,8,14
Premier League,2022,8,Leicester City,52,38,1.37,14,10,14
Premier League,2022,9,Brighton,51,38,1.34,12,15,11
Premier League,2022,10,Wolves,51,38,1.34,15,6,17
Premier League,2022,11,Newcastle Utd,49,38,1.29,13,10,15
Premier League,2022,12,Crystal Palace,48,38,1.26,11,15,12
Premier League,2022,13,Brentford,46,38,1.21,13,7,18
Premier League,2022,14,Aston Villa,45,38,1.18,13,6,19
Premier League,2022,15,Southampton,40,38,1.05,9,13,16
Premier League,2022,16,Everton,39,38,1.03,11,6,21
Premier League,2022,17,Leeds United,38,38,1.0,9,11,18
Premier League,2022,18,Burnley,35,38,0.92,7,14,17
Premier League,2022,19,Watford,23,38,0.61,6,5,27
Premier League,2022,20,Norwich City,22,38,0.58,5,7,26
Premier League,2021,1,Manchester City,86,38,2.26,27,5,6
Premier League,2021,2,Manchester Utd,74,38,1.95,21,11,6
Premier League,2021,3,Liverpool,69,38,1.82,20,9,9
Premier League,2021,4,Chelsea,67,38,1.76,19,10,9
Premier League,2021,5,Leicester City,66,38,1.74,20,6,12
Premier League,2021,6,West Ham,65,38,1.71,19,8,11
Premier League,2021,7,Tottenham,62,38,1.63,18,8,12
Premier League,2021,8,Arsenal,61,38,1.61,18,7,13
Premier League,2021,9,Leeds United,59,38,1.55,18,5,15
Premier League,2021,10,Everton,59,38,1.55,17,8,13
Premier League,2021,11,Aston Villa,55,38,1.45,16,7,15
Premier League,2021,12,Newcastle Utd,45,38,1.18,12,9,17
Premier League,2021,13,Wolves,45,38,1.18,12,9,17
Premier League,2021,14,Crystal Palace,44,38,1.16,12,8,18
Premier League,2021,15,Southampton,43,38,1.13,12,7,19
